happiness_score,AverageTemperature,wspd,Sun hours
7.526,-18.053050699300698,14.2886925795053,1932.0
7.501,1.4050650663297535,18.449647887323945,1326.0
7.498,0.09580385344283004,9.474911660777385,1373.3333333333333
7.413,1.244742261528743,14.530742049469964,1858.0
7.404,-5.216658945686901,11.790812720848058,2028.0444444444447
7.339,9.504604548325963,16.862190812720847,1662.0
7.334,10.371239107883817,23.930742049469963,1967.06
7.291,2.3863319646241314,11.221201413427561,1782.5
7.267,19.62657730263158,10.080212014134275,3311.0
7.119,6.210731838281744,12.451943462897527,1884.0
6.994,8.152496209728364,13.961619718309858,1644.0
6.929,9.483378395451673,11.582685512367492,1546.0
6.907,9.419558433354391,17.127561837455833,1453.0
6.871,9.165196462413139,11.604593639575972,1634.0
6.739,26.52310282651072,9.214084507042255,2022.4
6.725,8.489325331648768,14.087632508833924,1441.6666666666667
6.701,26.291620638085742,9.24507042253521,1743.5
6.65,14.621194210526316,12.757746478873239,2220.2999999999997
6.545,17.149306774809162,9.895422535211269,2481.4
6.488,18.494875319693094,15.856537102473498,3054.0
6.478,12.772445672773216,10.454063604240282,2315.125
6.474,25.986800979519145,2.6778169014084505,2175.025
6.361,13.61283417561592,8.32826855123675,2832.5
6.355,22.98511176905996,9.53169014084507,3266.5
6.068,24.906704545454545,8.559154929577465,2957.0
5.992,25.957508780036967,12.299999999999999,2759.9
5.977,12.737121920404297,9.737455830388692,2372.25
5.921,11.951907335907336,10.192605633802817,1837.1200000000001
5.919,5.202144758735441,7.941197183098592,2431.5
5.835,7.46020593809223,12.721908127208481,1997.0
5.813,5.9079917877447885,11.926855123674912,1691.0
5.802,5.819288060644346,14.08838028169014,1807.0
5.768,9.659700568540746,5.23321554770318,1974.0
5.743,19.935974230044,13.725,2281.65
5.615,22.268253938484623,13.495220588235293,3178.1
5.56,5.320545167403664,12.028975265017667,1754.0
5.546,18.787745686421605,8.820640569395017,3314.1
5.538,23.237967557251906,12.221908127208481,2803.0
5.528,8.76090176879343,4.74416961130742,2115.0
5.517,4.819805748578648,11.324734982332156,1994.5
5.488,11.342399873657612,6.985159010600706,2272.0
5.314,25.684483767961684,5.601408450704225,2521.65
5.291,11.175936074918567,20.453521126760563,2207.4
5.279,26.44047248677249,7.834507042253521,2103.1
5.245,6.612731031349386,9.066197183098593,2028.5800000000002
5.177,9.986563171193936,6.573851590106007,2055.0
5.161,10.214629500947568,6.1226148409893995,2481.0
5.151,17.627497409326423,8.497879858657244,3155.4666666666667
5.145,9.722423246999368,10.739222614840989,1988.0
5.129,17.63161773078487,12.354063604240283,2944.0
5.123,14.688179987212276,14.133922261484098,2770.0
5.045,19.97059047314578,12.852112676056338,3049.95
5.033,14.773012002526848,8.120848056537103,2773.0
4.655,12.610645925457991,5.584452296819788,2544.0
4.643,24.820242783708977,11.390845070422536,2066.0
4.575,21.775628879310347,14.492957746478874,3240.8
4.404,23.873789473684212,6.166549295774648,2517.02
4.362,22.620693031209917,13.576056338028168,3710.6800000000003
4.324,7.653507264687303,9.778798586572439,1955.0
4.276,26.711013551665726,15.336971830985915,2367.5
4.219,27.967375,15.367605633802816,3146.0
4.201,27.62025550435228,17.62781690140845,3332.5
4.121,24.254725648414986,12.301760563380281,1720.1999999999998
4.073,28.44197657082002,9.877816901408451,3099.866666666667
3.856,27.458972540045767,12.865845070422536,3203.2
3.763,27.120466282420747,12.195774647887324,3353.2
3.739,28.083506760411034,10.888380281690141,3209.0
3.607,25.452353098290597,11.454577464788732,2440.0
3.484,27.17199943181818,,2630.4666666666667
3.303,26.87178275666478,13.862676056338028,2579.95
