City,Happiness,wspd
Amsterdam,7.44,16.862190812720847
Bangkok,5.99,2.6778169014084505
Beijing,5.12,9.066197183098593
Berlin,7.07,13.961619718309858
Brussels,6.86,11.582685512367492
Buenos Aires,5.97,12.757746478873239
Cairo,4.15,13.576056338028168
Copenhagen,7.64,14.2886925795053
Dublin,7.09,17.127561837455833
Helsinki,7.8,14.530742049469964
Hong Kong,5.51,15.261267605633803
Jakarta,5.28,5.601408450704225
London,7.16,14.087632508833924
Madrid,6.4,8.32826855123675
Moscow,5.54,4.527464788732394
Paris,6.66,10.454063604240282
Seoul,5.87,9.107746478873239
Stockholm,7.35,11.221201413427561
Taipei,5.12,12.857042253521128
Tel Aviv,7.12,10.080212014134275
Tokyo,5.87,10.192605633802817
Vienna,7.29,12.451943462897527
